52.229680000,21.012190000
52.229800000,21.012210000
52.229830000,21.012210000
52.229870000,21.012200000
52.229900000,21.012190000
52.229910000,21.012190000
52.229930000,21.012180000
52.229940000,21.012180000
52.229950000,21.012170000
52.229960000,21.012160000
52.229980000,21.012150000
52.230010000,21.012130000
52.230020000,21.012110000
52.230060000,21.012070000
52.230090000,21.012020000
52.230120000,21.011980000
52.230130000,21.011910000
52.230130000,21.011890000
52.230130000,21.011800000
52.230120000,21.011720000
52.230110000,21.011650000
52.230100000,21.011600000
52.230090000,21.011560000
52.230090000,21.011540000
52.230080000,21.011490000
52.230060000,21.011440000
52.230040000,21.011390000
52.230020000,21.011340000
52.229990000,21.011280000
52.229950000,21.011250000
52.229870000,21.011050000
52.229820000,21.010950000
52.229780000,21.010850000
52.229720000,21.010680000
52.229670000,21.010520000
52.229630000,21.010410000
52.229610000,21.010310000
52.229570000,21.010160000
52.229500000,21.009790000
52.229260000,21.008710000
52.229060000,21.007750000
52.228960000,21.007230000
52.228870000,21.006760000
52.228810000,21.006440000
52.228740000,21.006110000
52.228620000,21.005580000
52.228560000,21.005300000
52.228520000,21.005110000
52.228540000,21.004980000
52.228560000,21.004850000
52.228580000,21.004750000
52.228590000,21.004660000
52.228610000,21.004600000
52.228630000,21.004570000
52.228650000,21.004530000
52.228670000,21.004490000
52.228690000,21.004470000
52.228700000,21.004440000
52.228720000,21.004400000
52.228730000,21.004390000
52.228750000,21.004380000
52.228730000,21.004290000
52.228520000,21.003320000
52.228860000,21.003230000
52.228860000,21.003230000
52.228770000,21.003290000
52.228580000,21.002410000
52.228480000,21.001970000
52.228450000,21.001810000
52.228390000,21.001560000
52.228360000,21.001420000
52.228320000,21.001280000
52.228290000,21.001170000
52.228250000,21.001040000
52.228190000,21.000900000
52.227950000,21.000360000
52.227910000,21.000270000
52.227860000,21.000140000
52.227820000,21.000030000
52.227780000,20.999890000
52.226920000,20.995860000
52.226920000,20.995850000
52.226880000,20.995680000
52.226830000,20.995460000
52.226820000,20.995420000
52.226810000,20.995380000
52.226740000,20.995180000
52.226710000,20.995030000
52.226650000,20.994720000
52.226600000,20.994470000
52.226550000,20.994150000
52.226500000,20.993850000
52.226460000,20.993550000
52.226430000,20.993350000
52.226420000,20.993270000
52.226400000,20.993140000
52.226380000,20.993030000
52.226340000,20.992810000
52.226320000,20.992690000
52.226300000,20.992570000
52.226250000,20.992360000
52.226140000,20.991830000
52.226100000,20.991630000
52.226030000,20.991300000
52.225970000,20.991000000
52.225920000,20.990790000
52.225870000,20.990520000
52.225820000,20.990310000
52.225780000,20.990120000
52.225740000,20.989980000
52.225690000,20.989740000
